=== Results ===
Period String: 01
{'00': 530, '10': 494}
{'00': 496, '10': 528}
{'00': 474, '10': 550}
{'00': 533, '10': 491}
{'00': 504, '10': 520}
{'00': 496, '10': 528}
{'00': 506, '10': 518}
{'00': 531, '10': 493}
{'00': 522, '10': 502}
{'00': 489, '10': 535}
{'00': 544, '10': 480}
{'00': 515, '10': 509}
Period String: 10
{'00': 490, '01': 534}
{'00': 519, '01': 505}
{'00': 514, '01': 510}
{'00': 501, '01': 523}
{'00': 506, '01': 518}
{'00': 511, '01': 513}
{'00': 515, '01': 509}
{'00': 513, '01': 511}
{'00': 512, '01': 512}
{'00': 548, '01': 476}
{'00': 513, '01': 511}
{'00': 503, '01': 521}
Period String: 11
{'00': 514, '11': 510}
{'00': 494, '11': 530}
{'00': 504, '11': 520}
{'00': 496, '11': 528}
{'00': 526, '11': 498}
{'00': 521, '11': 503}
{'00': 528, '11': 496}
{'00': 470, '11': 554}
{'00': 495, '11': 529}
{'00': 504, '11': 520}
{'00': 493, '11': 531}
{'00': 482, '11': 542}
