=== Results ===
Period String: 001
{'110': 260, '000': 252, '100': 267, '010': 245}
{'110': 273, '000': 260, '100': 237, '010': 254}
{'110': 268, '000': 261, '100': 260, '010': 235}
{'110': 277, '000': 237, '100': 259, '010': 251}
{'110': 245, '000': 264, '100': 263, '010': 252}
{'110': 245, '000': 265, '100': 267, '010': 247}
{'110': 262, '000': 247, '100': 248, '010': 267}
{'110': 277, '000': 262, '100': 231, '010': 254}
{'110': 234, '000': 249, '100': 256, '010': 285}
{'110': 258, '000': 259, '100': 238, '010': 269}
{'110': 261, '000': 252, '100': 256, '010': 255}
{'110': 261, '000': 245, '100': 287, '010': 231}
{'110': 245, '000': 264, '100': 266, '010': 249}
{'110': 249, '000': 283, '100': 244, '010': 248}
{'110': 256, '000': 270, '100': 266, '010': 232}
{'110': 279, '000': 254, '100': 231, '010': 260}
{'110': 263, '000': 262, '100': 263, '010': 236}
{'110': 281, '000': 241, '100': 246, '010': 256}
{'110': 247, '000': 277, '100': 243, '010': 257}
{'110': 254, '000': 233, '100': 271, '010': 266}
{'110': 254, '000': 252, '100': 274, '010': 244}
{'110': 250, '000': 241, '100': 263, '010': 270}
{'110': 250, '000': 241, '100': 276, '010': 257}
{'110': 255, '000': 243, '100': 265, '010': 261}
{'110': 251, '000': 288, '100': 244, '010': 241}
{'110': 258, '000': 272, '100': 240, '010': 254}
{'110': 246, '000': 249, '100': 263, '010': 266}
{'110': 257, '000': 243, '100': 227, '010': 297}
{'110': 240, '000': 268, '100': 255, '010': 261}
{'110': 241, '000': 268, '100': 256, '010': 259}
{'110': 251, '000': 267, '100': 251, '010': 255}
{'110': 242, '000': 251, '100': 241, '010': 290}
{'110': 280, '000': 243, '100': 230, '010': 271}
{'110': 238, '000': 264, '100': 254, '010': 268}
{'110': 251, '000': 235, '100': 287, '010': 251}
{'110': 253, '000': 242, '100': 274, '010': 255}
{'110': 258, '000': 247, '100': 268, '010': 251}
{'110': 276, '000': 249, '100': 241, '010': 258}
{'110': 272, '000': 238, '100': 262, '010': 252}
{'110': 261, '000': 271, '100': 238, '010': 254}
{'110': 282, '000': 238, '100': 232, '010': 272}
{'110': 263, '000': 238, '100': 257, '010': 266}
{'110': 272, '000': 248, '100': 246, '010': 258}
{'110': 262, '000': 269, '100': 225, '010': 268}
{'110': 265, '000': 243, '100': 246, '010': 270}
{'110': 267, '000': 240, '100': 270, '010': 247}
{'110': 255, '000': 257, '100': 246, '010': 266}
{'110': 249, '000': 256, '100': 273, '010': 246}
{'110': 250, '000': 248, '100': 261, '010': 265}
{'110': 250, '000': 249, '100': 259, '010': 266}
{'110': 258, '000': 228, '100': 275, '010': 263}
{'110': 252, '000': 274, '100': 250, '010': 248}
{'110': 274, '000': 262, '100': 250, '010': 238}
{'110': 281, '000': 245, '100': 253, '010': 245}
Period String: 010
{'101': 261, '000': 276, '100': 239, '001': 248}
{'101': 270, '000': 265, '100': 254, '001': 235}
{'101': 247, '000': 256, '100': 271, '001': 250}
{'101': 254, '000': 248, '100': 286, '001': 236}
{'101': 253, '000': 272, '100': 246, '001': 253}
{'101': 249, '000': 240, '100': 265, '001': 270}
{'101': 252, '000': 277, '100': 271, '001': 224}
{'101': 254, '000': 284, '100': 240, '001': 246}
{'101': 261, '000': 245, '100': 261, '001': 257}
{'101': 257, '000': 278, '100': 246, '001': 243}
{'101': 266, '000': 264, '100': 237, '001': 257}
{'101': 248, '000': 256, '100': 240, '001': 280}
{'101': 264, '000': 232, '100': 259, '001': 269}
{'101': 228, '000': 267, '100': 255, '001': 274}
{'101': 269, '000': 272, '100': 246, '001': 237}
{'101': 241, '000': 281, '100': 239, '001': 263}
{'101': 250, '000': 260, '100': 278, '001': 236}
{'101': 267, '000': 267, '100': 238, '001': 252}
{'101': 257, '000': 240, '100': 246, '001': 281}
{'101': 253, '000': 261, '100': 242, '001': 268}
{'101': 251, '000': 245, '100': 244, '001': 284}
{'101': 258, '000': 249, '100': 255, '001': 262}
{'101': 243, '000': 244, '100': 266, '001': 271}
{'101': 253, '000': 251, '100': 284, '001': 236}
{'101': 266, '000': 231, '100': 259, '001': 268}
{'101': 266, '000': 246, '100': 266, '001': 246}
{'101': 235, '000': 249, '100': 271, '001': 269}
{'101': 280, '000': 245, '100': 246, '001': 253}
{'101': 261, '000': 264, '100': 241, '001': 258}
{'101': 246, '000': 261, '100': 259, '001': 258}
{'101': 258, '000': 239, '100': 254, '001': 273}
{'101': 261, '000': 254, '100': 245, '001': 264}
{'101': 217, '000': 258, '100': 284, '001': 265}
{'101': 262, '000': 277, '100': 245, '001': 240}
{'101': 259, '000': 265, '100': 229, '001': 271}
{'101': 254, '000': 242, '100': 255, '001': 273}
{'101': 259, '000': 266, '100': 248, '001': 251}
{'101': 250, '000': 267, '100': 266, '001': 241}
{'101': 252, '000': 254, '100': 258, '001': 260}
{'101': 262, '000': 234, '100': 264, '001': 264}
{'101': 234, '000': 276, '100': 255, '001': 259}
{'101': 252, '000': 268, '100': 255, '001': 249}
{'101': 249, '000': 254, '100': 272, '001': 249}
{'101': 274, '000': 248, '100': 246, '001': 256}
{'101': 249, '000': 247, '100': 271, '001': 257}
{'101': 268, '000': 244, '100': 261, '001': 251}
{'101': 253, '000': 230, '100': 280, '001': 261}
{'101': 272, '000': 233, '100': 256, '001': 263}
{'101': 274, '000': 257, '100': 259, '001': 234}
{'101': 253, '000': 247, '100': 251, '001': 273}
{'101': 244, '000': 238, '100': 246, '001': 296}
{'101': 252, '000': 227, '100': 274, '001': 271}
{'101': 266, '000': 248, '100': 252, '001': 258}
{'101': 235, '000': 244, '100': 268, '001': 277}
Period String: 011
{'000': 242, '100': 266, '111': 260, '011': 256}
{'000': 266, '100': 275, '111': 246, '011': 237}
{'000': 241, '100': 277, '111': 260, '011': 246}
{'000': 268, '100': 256, '111': 238, '011': 262}
{'000': 255, '100': 260, '111': 249, '011': 260}
{'000': 242, '100': 273, '111': 246, '011': 263}
{'000': 240, '100': 260, '111': 261, '011': 263}
{'000': 254, '100': 251, '111': 267, '011': 252}
{'000': 270, '100': 243, '111': 258, '011': 253}
{'000': 237, '100': 273, '111': 229, '011': 285}
{'000': 261, '100': 256, '111': 243, '011': 264}
{'000': 278, '100': 250, '111': 253, '011': 243}
{'000': 259, '100': 252, '111': 271, '011': 242}
{'000': 266, '100': 239, '111': 265, '011': 254}
{'000': 246, '100': 256, '111': 279, '011': 243}
{'000': 243, '100': 253, '111': 263, '011': 265}
{'000': 251, '100': 234, '111': 269, '011': 270}
{'000': 256, '100': 280, '111': 249, '011': 239}
{'000': 241, '100': 245, '111': 261, '011': 277}
{'000': 250, '100': 252, '111': 227, '011': 295}
{'000': 262, '100': 263, '111': 237, '011': 262}
{'000': 264, '100': 257, '111': 255, '011': 248}
{'000': 232, '100': 269, '111': 266, '011': 257}
{'000': 251, '100': 276, '111': 255, '011': 242}
{'000': 258, '100': 247, '111': 240, '011': 279}
{'000': 238, '100': 247, '111': 259, '011': 280}
{'000': 278, '100': 228, '111': 258, '011': 260}
{'000': 250, '100': 267, '111': 238, '011': 269}
{'000': 266, '100': 255, '111': 239, '011': 264}
{'000': 243, '100': 256, '111': 257, '011': 268}
{'000': 263, '100': 238, '111': 260, '011': 263}
{'000': 276, '100': 261, '111': 253, '011': 234}
{'000': 270, '100': 276, '111': 244, '011': 234}
{'000': 286, '100': 253, '111': 249, '011': 236}
{'000': 249, '100': 239, '111': 264, '011': 272}
{'000': 264, '100': 247, '111': 272, '011': 241}
{'000': 262, '100': 242, '111': 250, '011': 270}
{'000': 286, '100': 244, '111': 253, '011': 241}
{'000': 299, '100': 229, '111': 235, '011': 261}
{'000': 264, '100': 270, '111': 229, '011': 261}
{'000': 265, '100': 250, '111': 252, '011': 257}
{'000': 268, '100': 249, '111': 242, '011': 265}
{'000': 263, '100': 275, '111': 247, '011': 239}
{'000': 246, '100': 242, '111': 272, '011': 264}
{'000': 231, '100': 264, '111': 267, '011': 262}
{'000': 263, '100': 262, '111': 254, '011': 245}
{'000': 286, '100': 227, '111': 233, '011': 278}
{'000': 248, '100': 263, '111': 261, '011': 252}
{'000': 265, '100': 283, '111': 252, '011': 224}
{'000': 268, '100': 228, '111': 243, '011': 285}
{'000': 261, '100': 249, '111': 228, '011': 286}
{'000': 258, '100': 271, '111': 229, '011': 266}
{'000': 231, '100': 269, '111': 276, '011': 248}
{'000': 257, '100': 253, '111': 270, '011': 244}
Period String: 100
{'010': 265, '000': 261, '001': 240, '011': 258}
{'010': 263, '000': 235, '001': 255, '011': 271}
{'010': 258, '000': 252, '001': 259, '011': 255}
{'010': 258, '000': 233, '001': 270, '011': 263}
{'010': 244, '000': 276, '001': 247, '011': 257}
{'010': 270, '000': 252, '001': 241, '011': 261}
{'010': 266, '000': 259, '001': 245, '011': 254}
{'010': 261, '000': 253, '001': 269, '011': 241}
{'010': 255, '000': 259, '001': 260, '011': 250}
{'010': 265, '000': 263, '001': 243, '011': 253}
{'010': 265, '000': 251, '001': 256, '011': 252}
{'010': 262, '000': 245, '001': 253, '011': 264}
{'010': 245, '000': 236, '001': 264, '011': 279}
{'010': 235, '000': 273, '001': 244, '011': 272}
{'010': 251, '000': 264, '001': 252, '011': 257}
{'010': 260, '000': 235, '001': 269, '011': 260}
{'010': 263, '000': 251, '001': 278, '011': 232}
{'010': 230, '000': 265, '001': 266, '011': 263}
{'010': 251, '000': 259, '001': 279, '011': 235}
{'010': 231, '000': 260, '001': 265, '011': 268}
{'010': 244, '000': 261, '001': 256, '011': 263}
{'010': 243, '000': 248, '001': 266, '011': 267}
{'010': 256, '000': 239, '001': 259, '011': 270}
{'010': 233, '000': 264, '001': 236, '011': 291}
{'010': 234, '000': 231, '001': 293, '011': 266}
{'010': 263, '000': 268, '001': 244, '011': 249}
{'010': 239, '000': 264, '001': 262, '011': 259}
{'010': 221, '000': 275, '001': 261, '011': 267}
{'010': 241, '000': 278, '001': 244, '011': 261}
{'010': 281, '000': 255, '001': 256, '011': 232}
{'010': 271, '000': 243, '001': 265, '011': 245}
{'010': 238, '000': 265, '001': 260, '011': 261}
{'010': 245, '000': 261, '001': 259, '011': 259}
{'010': 277, '000': 227, '001': 244, '011': 276}
{'010': 256, '000': 242, '001': 262, '011': 264}
{'010': 246, '000': 246, '001': 250, '011': 282}
{'010': 251, '000': 254, '001': 252, '011': 267}
{'010': 259, '000': 239, '001': 264, '011': 262}
{'010': 275, '000': 259, '001': 225, '011': 265}
{'010': 242, '000': 251, '001': 259, '011': 272}
{'010': 253, '000': 249, '001': 260, '011': 262}
{'010': 235, '000': 275, '001': 276, '011': 238}
{'010': 265, '000': 265, '001': 250, '011': 244}
{'010': 253, '000': 263, '001': 239, '011': 269}
{'010': 245, '000': 262, '001': 269, '011': 248}
{'010': 248, '000': 265, '001': 240, '011': 271}
{'010': 272, '000': 237, '001': 278, '011': 237}
{'010': 257, '000': 231, '001': 249, '011': 287}
{'010': 260, '000': 246, '001': 260, '011': 258}
{'010': 252, '000': 238, '001': 259, '011': 275}
{'010': 254, '000': 257, '001': 261, '011': 252}
{'010': 242, '000': 270, '001': 255, '011': 257}
{'010': 252, '000': 234, '001': 287, '011': 251}
{'010': 236, '000': 269, '001': 264, '011': 255}
Period String: 101
{'101': 264, '000': 258, '111': 255, '010': 247}
{'101': 258, '000': 275, '111': 233, '010': 258}
{'101': 237, '000': 267, '111': 254, '010': 266}
{'101': 283, '000': 244, '111': 253, '010': 244}
{'101': 282, '000': 252, '111': 241, '010': 249}
{'101': 252, '000': 257, '111': 261, '010': 254}
{'101': 251, '000': 244, '111': 278, '010': 251}
{'101': 274, '000': 270, '111': 256, '010': 224}
{'101': 274, '000': 244, '111': 266, '010': 240}
{'101': 248, '000': 265, '111': 249, '010': 262}
{'101': 250, '000': 241, '111': 265, '010': 268}
{'101': 256, '000': 273, '111': 252, '010': 243}
{'101': 259, '000': 241, '111': 278, '010': 246}
{'101': 255, '000': 261, '111': 251, '010': 257}
{'101': 248, '000': 249, '111': 276, '010': 251}
{'101': 270, '000': 219, '111': 281, '010': 254}
{'101': 274, '000': 227, '111': 256, '010': 267}
{'101': 254, '000': 271, '111': 236, '010': 263}
{'101': 251, '000': 256, '111': 258, '010': 259}
{'101': 244, '000': 255, '111': 264, '010': 261}
{'101': 239, '000': 256, '111': 257, '010': 272}
{'101': 256, '000': 241, '111': 254, '010': 273}
{'101': 244, '000': 252, '111': 257, '010': 271}
{'101': 278, '000': 262, '111': 232, '010': 252}
{'101': 273, '000': 270, '111': 243, '010': 238}
{'101': 233, '000': 268, '111': 274, '010': 249}
{'101': 256, '000': 256, '111': 277, '010': 235}
{'101': 260, '000': 278, '111': 244, '010': 242}
{'101': 248, '000': 268, '111': 234, '010': 274}
{'101': 274, '000': 246, '111': 251, '010': 253}
{'101': 260, '000': 251, '111': 254, '010': 259}
{'101': 271, '000': 268, '111': 244, '010': 241}
{'101': 248, '000': 276, '111': 251, '010': 249}
{'101': 257, '000': 251, '111': 262, '010': 254}
{'101': 255, '000': 258, '111': 238, '010': 273}
{'101': 280, '000': 249, '111': 249, '010': 246}
{'101': 272, '000': 273, '111': 253, '010': 226}
{'101': 254, '000': 274, '111': 244, '010': 252}
{'101': 291, '000': 216, '111': 264, '010': 253}
{'101': 259, '000': 246, '111': 260, '010': 259}
{'101': 259, '000': 268, '111': 250, '010': 247}
{'101': 249, '000': 238, '111': 262, '010': 275}
{'101': 245, '000': 276, '111': 255, '010': 248}
{'101': 256, '000': 248, '111': 265, '010': 255}
{'101': 248, '000': 263, '111': 258, '010': 255}
{'101': 262, '000': 249, '111': 262, '010': 251}
{'101': 252, '000': 288, '111': 248, '010': 236}
{'101': 268, '000': 264, '111': 254, '010': 238}
{'101': 259, '000': 236, '111': 269, '010': 260}
{'101': 268, '000': 229, '111': 259, '010': 268}
{'101': 268, '000': 257, '111': 251, '010': 248}
{'101': 284, '000': 267, '111': 233, '010': 240}
{'101': 270, '000': 257, '111': 240, '010': 257}
{'101': 234, '000': 275, '111': 264, '010': 251}
Period String: 110
{'001': 289, '110': 255, '000': 231, '111': 249}
{'001': 254, '110': 253, '000': 278, '111': 239}
{'001': 287, '110': 250, '000': 239, '111': 248}
{'001': 228, '110': 268, '000': 248, '111': 280}
{'001': 229, '110': 251, '000': 266, '111': 278}
{'001': 245, '110': 252, '000': 265, '111': 262}
{'001': 246, '110': 271, '000': 265, '111': 242}
{'001': 238, '110': 254, '000': 260, '111': 272}
{'001': 258, '110': 245, '000': 248, '111': 273}
{'001': 237, '110': 267, '000': 271, '111': 249}
{'001': 273, '110': 240, '000': 239, '111': 272}
{'001': 240, '110': 262, '000': 285, '111': 237}
{'001': 236, '110': 292, '000': 246, '111': 250}
{'001': 273, '110': 280, '000': 221, '111': 250}
{'001': 263, '110': 248, '000': 251, '111': 262}
{'001': 255, '110': 253, '000': 250, '111': 266}
{'001': 241, '110': 246, '000': 271, '111': 266}
{'001': 268, '110': 263, '000': 254, '111': 239}
{'001': 273, '110': 250, '000': 250, '111': 251}
